customer_id,trans_date,response,month,tran_amount,month_year
CS1779,27-01-2012,0,1,53,2012-01
CS2447,10-07-2011,0,7,82,2011-07
CS1985,16-08-2011,0,8,87,2011-08
CS2544,07-11-2011,0,11,64,2011-11
CS2158,11-09-2012,0,9,89,2012-09
CS5776,09-09-2014,0,9,87,2014-09
CS5653,04-09-2013,0,9,98,2013-09
CS2291,15-10-2014,0,10,67,2014-10
CS6088,29-10-2012,0,10,48,2012-10
CS4245,02-06-2014,0,6,102,2014-06
CS3344,02-07-2014,0,7,56,2014-07
CS1481,23-12-2013,0,12,50,2013-12
CS5400,23-12-2011,0,12,56,2011-12
CS5463,27-08-2014,0,8,91,2014-08
CS5951,07-08-2014,1,8,104,2014-08
CS5515,19-02-2012,0,2,41,2012-02
CS3039,01-05-2012,0,5,92,2012-05
CS1836,24-03-2012,0,3,63,2012-03
CS4320,09-04-2014,1,4,52,2014-04
CS4889,01-12-2011,0,12,38,2011-12
CS1319,26-09-2011,0,9,95,2011-09
CS4859,07-01-2015,1,1,50,2015-01
CS4148,08-02-2014,0,2,40,2014-02
CS5264,03-04-2013,0,4,81,2013-04
CS4041,29-12-2014,0,12,49,2014-12
CS2183,04-01-2013,0,1,39,2013-01
CS2516,15-02-2015,0,2,55,2015-02
CS1890,03-11-2012,0,11,37,2012-11
CS3730,11-02-2013,1,2,89,2013-02
CS5382,07-03-2013,1,3,48,2013-03
CS5970,13-06-2014,0,6,40,2014-06
CS5260,30-01-2015,1,1,46,2015-01
CS2437,13-11-2011,0,11,90,2011-11
CS4675,11-09-2011,0,9,67,2011-09
CS2920,11-10-2011,0,10,87,2011-10
CS2548,28-09-2013,1,9,73,2013-09
CS1818,26-12-2011,0,12,46,2011-12
CS6098,28-09-2012,1,9,42,2012-09
CS2712,26-12-2011,0,12,65,2011-12
CS2714,14-12-2011,0,12,69,2011-12
CS2615,17-08-2013,0,8,39,2013-08
CS5445,27-07-2014,0,7,72,2014-07
CS5812,02-11-2014,0,11,62,2014-11
CS4636,22-09-2013,0,9,66,2013-09
CS3147,04-06-2014,1,6,84,2014-06
CS1273,01-02-2012,0,2,91,2012-02
CS4243,11-11-2011,0,11,48,2011-11
CS2357,13-04-2012,0,4,71,2012-04
CS1776,03-05-2014,0,5,79,2014-05
CS5643,02-03-2013,0,3,104,2013-03
CS4522,06-03-2015,0,3,82,2015-03
CS2418,01-02-2015,0,2,51,2015-02
CS1330,21-11-2014,0,11,41,2014-11
CS1195,29-12-2014,0,12,83,2014-12
CS4306,07-03-2015,0,3,54,2015-03
CS2137,29-09-2013,0,9,73,2013-09
CS3518,19-06-2013,0,6,54,2013-06
CS5835,18-09-2011,1,9,52,2011-09
CS4701,15-01-2015,0,1,95,2015-01
CS4548,28-06-2012,0,6,38,2012-06
CS2384,15-10-2012,0,10,35,2012-10
CS4081,17-02-2013,0,2,74,2013-02
CS5976,02-01-2012,0,1,99,2012-01
CS3874,08-09-2011,0,9,44,2011-09
CS5356,17-06-2014,1,6,105,2014-06
CS4667,17-09-2014,0,9,66,2014-09
CS4328,04-06-2012,0,6,56,2012-06
CS3291,02-08-2013,0,8,42,2013-08
CS4282,11-09-2011,0,9,44,2011-09
CS4331,25-09-2011,0,9,70,2011-09
CS1243,17-03-2013,0,3,36,2013-03
CS2390,20-05-2014,0,5,104,2014-05
CS2207,05-04-2014,0,4,71,2014-04
CS1270,18-11-2011,0,11,104,2011-11
CS1219,11-11-2014,0,11,91,2014-11
CS5427,13-11-2012,1,11,96,2012-11
CS5474,18-05-2011,0,5,69,2011-05
CS5109,23-05-2012,0,5,92,2012-05
CS5287,14-03-2015,0,3,94,2015-03
CS3477,05-05-2013,0,5,80,2013-05
CS3970,13-12-2011,0,12,86,2011-12
CS5760,08-12-2011,0,12,59,2011-12
CS2149,04-04-2013,0,4,83,2013-04
CS4934,19-07-2014,1,7,80,2014-07
CS1517,18-10-2013,0,10,89,2013-10
CS1641,29-12-2012,0,12,64,2012-12
CS2187,19-11-2011,0,11,70,2011-11
CS5359,12-08-2014,0,8,96,2014-08
CS3124,08-12-2011,0,12,71,2011-12
CS1721,30-08-2012,0,8,96,2012-08
CS5212,22-01-2015,0,1,42,2015-01
CS5111,23-08-2011,1,8,81,2011-08
CS3137,04-04-2012,0,4,67,2012-04
CS1511,25-01-2015,0,1,69,2015-01
CS2509,23-02-2014,0,2,92,2014-02
CS5994,11-01-2014,0,1,42,2014-01
CS2613,25-08-2013,0,8,103,2013-08
CS1934,18-08-2014,0,8,89,2014-08
CS3127,02-10-2011,0,10,39,2011-10
CS5225,18-03-2014,1,3,104,2014-03
CS1815,17-11-2012,0,11,83,2012-11
CS3552,27-04-2014,0,4,102,2014-04
CS1893,17-11-2013,0,11,42,2013-11
CS3621,26-10-2013,0,10,56,2013-10
CS4330,17-07-2013,0,7,59,2013-07
CS4991,20-07-2013,0,7,90,2013-07
CS2312,22-10-2013,0,10,37,2013-10
CS2359,04-06-2012,1,6,90,2012-06
CS4798,06-12-2012,1,12,84,2012-12
CS2507,28-06-2012,0,6,94,2012-06
CS1430,02-09-2014,0,9,71,2014-09
CS3787,23-10-2013,0,10,48,2013-10
CS4103,14-04-2013,0,4,89,2013-04
CS2881,24-09-2012,0,9,54,2012-09
CS1854,29-09-2011,0,9,74,2011-09
CS2863,23-12-2012,0,12,102,2012-12
CS5292,04-09-2013,1,9,64,2013-09
CS3184,07-01-2012,0,1,88,2012-01
CS2049,07-10-2013,0,10,66,2013-10
CS2832,16-07-2013,0,7,105,2013-07
CS2251,12-04-2013,0,4,99,2013-04
CS5667,25-02-2014,0,2,66,2014-02
CS1327,19-02-2012,0,2,38,2012-02
CS4927,12-08-2013,0,8,37,2013-08
CS2302,09-09-2012,0,9,100,2012-09
CS3901,11-09-2012,0,9,82,2012-09
CS5762,21-04-2013,0,4,85,2013-04
CS2289,13-03-2012,0,3,89,2012-03
CS2867,09-02-2012,1,2,56,2012-02
CS2359,10-08-2014,1,8,87,2014-08
CS5814,12-12-2011,1,12,72,2011-12
CS5129,21-06-2011,0,6,102,2011-06
CS2597,03-06-2012,0,6,42,2012-06
CS5838,01-09-2012,0,9,96,2012-09
CS5800,23-04-2012,0,4,86,2012-04
CS3786,16-07-2013,0,7,66,2013-07
CS3659,19-05-2012,0,5,77,2012-05
CS4400,03-09-2011,0,9,97,2011-09
CS3026,03-06-2012,0,6,55,2012-06
CS3632,10-02-2013,0,2,72,2013-02
CS1452,23-03-2012,0,3,79,2012-03
CS5140,11-07-2014,0,7,97,2014-07
CS5383,29-12-2013,0,12,73,2013-12
CS4695,17-09-2013,0,9,48,2013-09
CS2368,10-08-2012,0,8,66,2012-08
CS2066,15-07-2011,0,7,51,2011-07
CS5277,12-07-2011,1,7,90,2011-07
CS3025,30-12-2011,1,12,72,2011-12
CS4802,25-06-2011,0,6,45,2011-06
CS6001,16-02-2014,0,2,63,2014-02
CS3981,20-09-2014,0,9,74,2014-09
CS3885,29-04-2014,0,4,56,2014-04
CS5546,28-08-2012,0,8,79,2012-08
CS4964,20-05-2014,0,5,79,2014-05
CS4881,21-01-2014,0,1,55,2014-01
CS4103,02-03-2014,0,3,40,2014-03
CS5884,19-12-2012,0,12,97,2012-12
CS2765,18-04-2013,0,4,88,2013-04
CS4438,05-07-2014,1,7,72,2014-07
CS2234,21-12-2014,0,12,36,2014-12
CS3015,30-01-2014,0,1,58,2014-01
CS3755,01-01-2015,0,1,45,2015-01
CS3927,25-03-2014,1,3,77,2014-03
CS5799,08-11-2012,0,11,101,2012-11
CS5708,03-06-2011,0,6,89,2011-06
CS3695,20-04-2013,0,4,51,2013-04
CS1969,23-10-2014,0,10,39,2014-10
CS3854,09-11-2014,1,11,104,2014-11
CS3416,23-02-2015,0,2,57,2015-02
CS1414,01-12-2013,0,12,104,2013-12
CS4732,27-03-2013,0,3,96,2013-03
CS2493,29-12-2012,0,12,85,2012-12
CS5851,19-01-2013,0,1,98,2013-01
CS1678,09-05-2014,0,5,48,2014-05
CS2049,19-03-2013,0,3,36,2013-03
CS3676,27-09-2011,0,9,43,2011-09
CS4853,27-03-2012,0,3,68,2012-03
CS4292,04-03-2014,0,3,98,2014-03
CS3152,15-12-2014,0,12,40,2014-12
CS5640,13-01-2014,0,1,77,2014-01
CS5857,26-09-2012,0,9,85,2012-09
CS1472,12-04-2014,0,4,72,2014-04
CS3888,22-02-2012,0,2,70,2012-02
CS5563,23-06-2013,0,6,70,2013-06
CS5104,17-09-2012,0,9,99,2012-09
CS6109,01-11-2013,0,11,92,2013-11
CS2352,06-10-2014,1,10,62,2014-10
CS4024,01-02-2014,0,2,39,2014-02
CS1499,24-12-2011,0,12,91,2011-12
CS3071,15-09-2012,0,9,39,2012-09
CS5638,16-12-2014,0,12,58,2014-12
CS5533,16-05-2013,0,5,73,2013-05
CS1961,29-03-2012,0,3,75,2012-03
CS1707,15-09-2011,0,9,105,2011-09
CS3692,17-09-2014,0,9,48,2014-09
CS1275,28-12-2011,0,12,102,2011-12
CS4738,20-03-2013,0,3,37,2013-03
CS3732,12-06-2011,1,6,83,2011-06
CS5676,16-12-2013,0,12,44,2013-12
CS4111,26-07-2012,0,7,54,2012-07
CS2074,05-01-2015,0,1,79,2015-01
CS5815,03-01-2015,0,1,92,2015-01
CS5094,07-03-2015,0,3,84,2015-03
CS5431,05-01-2013,0,1,55,2013-01
CS4540,13-08-2014,1,8,55,2014-08
CS1891,25-03-2013,0,3,84,2013-03
CS4389,22-03-2013,1,3,70,2013-03
CS4412,07-01-2012,0,1,47,2012-01
CS1697,13-07-2014,0,7,98,2014-07
CS2720,11-04-2012,0,4,72,2012-04
CS1152,04-08-2012,0,8,71,2012-08
CS3796,14-09-2013,0,9,37,2013-09
CS6066,23-08-2013,0,8,66,2013-08
CS2643,20-07-2014,0,7,69,2014-07
CS6056,22-03-2014,0,3,104,2014-03
CS3489,09-01-2013,0,1,76,2013-01
CS5229,23-11-2011,0,11,58,2011-11
CS4649,16-12-2014,0,12,93,2014-12
CS4372,27-08-2014,0,8,71,2014-08
CS1790,04-10-2012,0,10,100,2012-10
CS1475,20-08-2012,0,8,73,2012-08
CS2452,05-04-2014,0,4,77,2014-04
CS2781,02-06-2011,0,6,51,2011-06
CS5260,25-09-2014,1,9,89,2014-09
CS5155,25-12-2011,0,12,100,2011-12
CS1582,24-05-2014,1,5,46,2014-05
CS4757,19-08-2011,0,8,81,2011-08
CS6039,05-10-2013,0,10,104,2013-10
CS1580,18-11-2012,1,11,87,2012-11
CS3815,05-07-2011,0,7,54,2011-07
CS6063,13-04-2013,0,4,104,2013-04
CS2226,29-10-2014,0,10,104,2014-10
CS5367,08-01-2015,1,1,77,2015-01
CS4581,04-06-2013,0,6,95,2013-06
CS5004,21-12-2014,0,12,59,2014-12
CS2164,06-08-2013,0,8,35,2013-08
CS4590,31-05-2014,0,5,79,2014-05
CS4600,03-10-2011,0,10,50,2011-10
CS2122,20-02-2012,0,2,90,2012-02
CS3060,24-08-2012,0,8,59,2012-08
CS2217,19-04-2013,0,4,85,2013-04
CS4288,21-04-2014,0,4,68,2014-04
CS1568,10-05-2013,0,5,104,2013-05
CS3442,16-09-2014,0,9,39,2014-09
CS4883,24-12-2013,0,12,39,2013-12
CS4911,17-02-2012,0,2,75,2012-02
CS1533,25-07-2012,0,7,86,2012-07
CS3103,07-05-2014,0,5,59,2014-05
CS2185,29-01-2012,0,1,46,2012-01
CS4094,24-07-2013,0,7,100,2013-07
CS4354,29-12-2012,1,12,62,2012-12
CS1939,25-07-2012,0,7,46,2012-07
CS5516,04-12-2012,0,12,75,2012-12
CS5664,02-11-2013,0,11,95,2013-11
CS5068,07-11-2014,0,11,41,2014-11
CS4376,13-10-2014,0,10,49,2014-10
CS5825,22-10-2011,0,10,61,2011-10
CS1871,16-01-2012,0,1,64,2012-01
CS5046,06-02-2015,1,2,86,2015-02
CS1259,30-06-2013,1,6,64,2013-06
CS5664,11-09-2011,0,9,58,2011-09
CS2986,20-07-2011,0,7,67,2011-07
CS5510,02-09-2013,0,9,99,2013-09
CS2845,10-01-2013,0,1,73,2013-01
CS4077,22-07-2012,0,7,90,2012-07
CS3466,04-11-2013,0,11,71,2013-11
CS1508,25-10-2013,0,10,101,2013-10
CS2469,19-07-2014,0,7,93,2014-07
CS2767,03-01-2015,0,1,105,2015-01
CS5790,17-03-2012,0,3,58,2012-03
CS1710,10-06-2013,0,6,100,2013-06
CS2554,05-10-2011,0,10,100,2011-10
CS5283,05-02-2015,0,2,63,2015-02
CS4050,30-08-2014,0,8,63,2014-08
CS5975,08-09-2012,0,9,77,2012-09
CS4227,16-10-2012,0,10,74,2012-10
CS5983,20-05-2011,0,5,47,2011-05
CS2490,04-12-2013,0,12,70,2013-12
CS1696,25-12-2012,1,12,51,2012-12
CS3209,25-02-2014,0,2,82,2014-02
CS2942,08-01-2013,0,1,62,2013-01
CS4981,16-10-2011,0,10,93,2011-10
CS1397,26-03-2014,0,3,77,2014-03
CS1903,15-04-2013,0,4,92,2013-04
CS3754,30-11-2013,0,11,77,2013-11
CS4763,12-12-2011,0,12,78,2011-12
CS4413,17-01-2015,0,1,38,2015-01
CS2333,13-08-2011,0,8,99,2011-08
CS2798,30-05-2012,0,5,100,2012-05
CS5033,13-12-2011,0,12,96,2011-12
CS1420,09-09-2014,1,9,99,2014-09
CS5132,14-09-2011,0,9,74,2011-09
CS3058,03-09-2012,0,9,74,2012-09
CS3692,22-09-2013,0,9,42,2013-09
CS2463,29-09-2012,0,9,55,2012-09
CS5209,11-11-2011,0,11,35,2011-11
CS4581,16-11-2013,0,11,53,2013-11
CS3424,02-12-2013,0,12,85,2013-12
CS3207,27-06-2013,1,6,86,2013-06
CS5763,23-01-2013,0,1,56,2013-01
CS5772,18-01-2012,0,1,97,2012-01
CS3673,29-04-2013,0,4,85,2013-04
CS2887,02-03-2012,0,3,100,2012-03
CS1596,28-08-2011,0,8,66,2011-08
CS4299,17-06-2012,0,6,37,2012-06
CS1492,06-02-2014,0,2,82,2014-02
CS2313,10-04-2014,0,4,40,2014-04
CS5385,25-04-2014,0,4,83,2014-04
CS3441,03-11-2013,0,11,43,2013-11
CS4701,26-07-2014,0,7,53,2014-07
CS1746,21-06-2013,1,6,103,2013-06
CS3276,27-07-2013,0,7,65,2013-07
CS2555,20-05-2012,0,5,50,2012-05
CS2569,29-04-2014,0,4,37,2014-04
CS3426,01-05-2014,0,5,67,2014-05
CS3052,17-11-2013,1,11,67,2013-11
CS1993,08-08-2013,0,8,68,2013-08
CS4908,27-09-2014,0,9,78,2014-09
CS3021,10-02-2014,0,2,43,2014-02
CS4424,16-05-2013,0,5,82,2013-05
CS4841,23-05-2013,0,5,74,2013-05
CS3486,19-11-2012,0,11,75,2012-11
CS2218,11-10-2011,0,10,78,2011-10
CS4779,29-04-2012,1,4,53,2012-04
CS4226,19-04-2013,0,4,100,2013-04
CS1653,30-08-2011,1,8,53,2011-08
CS2533,30-03-2012,0,3,99,2012-03
CS2905,29-07-2012,0,7,47,2012-07
CS5169,25-01-2013,0,1,64,2013-01
CS5142,25-11-2012,0,11,64,2012-11
CS4390,02-07-2014,0,7,43,2014-07
CS5668,27-02-2014,0,2,91,2014-02
CS2896,14-01-2013,0,1,71,2013-01
CS5156,02-10-2013,0,10,58,2013-10
CS4200,12-08-2012,0,8,67,2012-08
CS4391,07-09-2014,1,9,67,2014-09
CS5408,22-07-2013,0,7,78,2013-07
CS6019,25-10-2013,1,10,84,2013-10
CS3981,25-07-2012,0,7,40,2012-07
CS5925,20-06-2013,0,6,66,2013-06
CS3964,14-11-2013,0,11,105,2013-11
CS4688,20-05-2013,0,5,101,2013-05
CS1343,02-06-2012,0,6,57,2012-06
CS6024,14-10-2012,0,10,45,2012-10
CS2816,18-12-2011,0,12,84,2011-12
CS2434,20-05-2012,1,5,41,2012-05
CS6018,18-05-2012,0,5,96,2012-05
CS2072,07-07-2012,0,7,63,2012-07
CS2897,03-12-2013,0,12,83,2013-12
CS1680,14-10-2013,0,10,81,2013-10
CS1638,05-08-2013,0,8,84,2013-08
CS1165,12-04-2012,0,4,101,2012-04
CS4593,04-01-2012,0,1,84,2012-01
CS3414,13-11-2011,0,11,46,2011-11
CS2252,28-02-2013,0,2,58,2013-02
CS3598,30-07-2013,0,7,54,2013-07
CS3642,19-05-2014,1,5,62,2014-05
CS5948,10-07-2014,0,7,71,2014-07
CS5582,23-05-2014,0,5,96,2014-05
CS6107,23-07-2011,0,7,70,2011-07
CS5201,02-07-2011,0,7,79,2011-07
CS1639,05-05-2013,0,5,51,2013-05
CS5884,20-11-2012,0,11,52,2012-11
CS3515,07-07-2014,0,7,81,2014-07
CS2332,29-08-2013,0,8,66,2013-08
CS5628,16-12-2014,0,12,94,2014-12
CS4830,13-04-2012,0,4,78,2012-04
CS1673,04-01-2012,0,1,92,2012-01
CS4993,01-06-2011,0,6,86,2011-06
CS2603,01-07-2013,1,7,58,2013-07
CS1800,20-11-2013,0,11,72,2013-11
CS3911,09-06-2012,0,6,83,2012-06
CS5465,05-12-2011,0,12,77,2011-12
CS2373,29-03-2012,0,3,105,2012-03
CS1241,06-03-2013,0,3,104,2013-03
CS4244,15-02-2013,0,2,48,2013-02
CS5233,05-06-2013,0,6,73,2013-06
CS5405,04-12-2013,0,12,87,2013-12
CS4115,30-11-2011,1,11,73,2011-11
CS4283,23-12-2011,0,12,76,2011-12
CS4420,28-05-2014,0,5,93,2014-05
CS4779,08-05-2013,1,5,41,2013-05
CS2567,15-07-2011,0,7,93,2011-07
CS3629,30-09-2014,0,9,68,2014-09
CS2026,25-08-2013,1,8,66,2013-08
CS4338,05-07-2013,0,7,58,2013-07
CS4142,20-05-2012,0,5,100,2012-05
CS2837,10-11-2012,0,11,88,2012-11
CS1625,05-11-2013,0,11,104,2013-11
CS4873,20-11-2012,0,11,83,2012-11
CS3376,28-08-2012,0,8,39,2012-08
CS4311,27-02-2012,1,2,35,2012-02
CS1396,25-09-2012,0,9,86,2012-09
CS3779,29-01-2014,0,1,92,2014-01
CS1997,09-10-2012,0,10,87,2012-10
CS4540,17-05-2012,1,5,72,2012-05
CS5299,22-12-2012,0,12,90,2012-12
CS2253,21-11-2012,0,11,99,2012-11
CS6066,17-03-2014,0,3,102,2014-03
CS6077,22-11-2012,0,11,44,2012-11
CS3300,28-12-2014,0,12,86,2014-12
CS5922,31-03-2012,1,3,95,2012-03
CS6009,13-03-2014,1,3,39,2014-03
CS5064,19-02-2013,0,2,97,2013-02
CS2399,21-04-2014,0,4,77,2014-04
CS5547,27-09-2012,1,9,73,2012-09
CS5114,23-09-2012,0,9,96,2012-09
CS3908,10-11-2011,1,11,83,2011-11
CS4194,24-04-2013,0,4,92,2013-04
CS5342,15-10-2012,0,10,82,2012-10
CS5425,04-08-2012,0,8,90,2012-08
CS1991,29-09-2014,0,9,94,2014-09
CS2693,27-08-2013,0,8,61,2013-08
CS5076,31-01-2015,1,1,63,2015-01
CS3177,08-06-2011,0,6,87,2011-06
CS2809,02-06-2012,1,6,60,2012-06
CS3864,06-12-2013,0,12,56,2013-12
CS2515,11-12-2011,1,12,51,2011-12
CS4487,25-08-2011,0,8,100,2011-08
CS3108,20-08-2011,0,8,87,2011-08
CS1133,28-07-2014,0,7,91,2014-07
CS5919,04-03-2012,0,3,97,2012-03
CS6067,04-09-2012,0,9,44,2012-09
CS4893,24-10-2013,0,10,66,2013-10
CS5750,25-03-2014,0,3,48,2014-03
CS1445,13-11-2011,0,11,88,2011-11
CS1710,26-10-2011,0,10,52,2011-10
CS1927,23-12-2013,0,12,97,2013-12
CS5719,10-07-2011,1,7,40,2011-07
CS2591,29-01-2014,0,1,69,2014-01
CS2416,13-02-2013,0,2,59,2013-02
CS1347,10-02-2013,0,2,74,2013-02
CS3073,13-02-2015,0,2,95,2015-02
CS3590,23-10-2013,0,10,104,2013-10
CS4099,29-05-2014,0,5,67,2014-05
CS4109,21-08-2012,0,8,40,2012-08
CS6072,20-12-2011,0,12,82,2011-12
CS3266,17-11-2012,0,11,51,2012-11
CS1433,22-12-2014,0,12,72,2014-12
CS5499,23-06-2011,0,6,59,2011-06
CS1533,20-07-2012,0,7,85,2012-07
CS5405,21-04-2012,0,4,91,2012-04
CS4971,28-05-2013,0,5,83,2013-05
CS5461,06-02-2012,1,2,47,2012-02
CS6088,27-01-2013,0,1,82,2013-01
CS1984,04-09-2012,0,9,53,2012-09
CS1184,05-01-2013,0,1,102,2013-01
CS4346,09-12-2012,0,12,65,2012-12
CS5245,29-10-2014,0,10,104,2014-10
CS5402,03-11-2011,0,11,84,2011-11
CS2765,29-08-2011,0,8,61,2011-08
CS5785,20-06-2013,0,6,63,2013-06
CS5767,29-05-2013,0,5,82,2013-05
CS2753,17-06-2012,0,6,63,2012-06
CS2252,04-09-2012,0,9,68,2012-09
CS5488,28-06-2012,0,6,53,2012-06
CS5354,23-09-2014,0,9,83,2014-09
CS1470,11-02-2012,0,2,95,2012-02
CS1155,16-10-2011,0,10,75,2011-10
CS5565,04-06-2014,0,6,36,2014-06
CS6073,07-02-2015,0,2,104,2015-02
CS2817,11-06-2014,0,6,43,2014-06
CS3210,29-10-2011,0,10,57,2011-10
CS4688,16-10-2012,0,10,59,2012-10
CS4663,24-02-2013,0,2,95,2013-02
CS4539,28-07-2012,1,7,35,2012-07
CS2580,09-07-2012,0,7,42,2012-07
CS3983,15-10-2012,0,10,103,2012-10
CS2771,02-07-2012,0,7,67,2012-07
CS3635,03-02-2015,0,2,38,2015-02
CS1415,21-01-2012,0,1,73,2012-01
CS2294,04-03-2015,0,3,94,2015-03
CS1405,18-09-2013,0,9,43,2013-09
CS1582,16-01-2014,1,1,85,2014-01
CS2886,09-11-2013,0,11,38,2013-11
CS2770,07-11-2014,0,11,80,2014-11
CS1140,28-12-2014,0,12,61,2014-12
CS2333,25-01-2014,0,1,93,2014-01
CS4752,20-04-2013,0,4,95,2013-04
CS5687,26-07-2011,0,7,89,2011-07
CS4895,11-01-2014,0,1,80,2014-01
CS2786,28-11-2011,0,11,66,2011-11
CS1927,24-05-2012,0,5,63,2012-05
CS4327,26-09-2014,0,9,36,2014-09
CS1624,30-03-2013,0,3,68,2013-03
CS5490,19-08-2014,0,8,36,2014-08
CS4395,26-02-2012,0,2,66,2012-02
CS3174,25-01-2013,0,1,61,2013-01
CS2011,06-06-2013,0,6,85,2013-06
CS5553,07-01-2015,0,1,98,2015-01
CS3775,23-02-2012,0,2,92,2012-02
CS2885,08-11-2012,0,11,55,2012-11
CS1206,11-08-2014,0,8,90,2014-08
CS4480,23-05-2012,0,5,60,2012-05
CS1488,12-02-2015,0,2,65,2015-02
CS1456,08-02-2013,0,2,95,2013-02
CS4681,03-02-2014,0,2,96,2014-02
CS3170,16-10-2012,0,10,85,2012-10
CS1906,18-05-2014,0,5,60,2014-05
CS5774,28-02-2015,0,2,78,2015-02
CS6063,29-09-2011,0,9,77,2011-09
CS2223,17-01-2014,0,1,41,2014-01
CS1848,27-09-2011,0,9,48,2011-09
CS2366,08-04-2014,0,4,39,2014-04
CS5335,13-01-2014,0,1,45,2014-01
CS2899,12-10-2012,1,10,55,2012-10
CS4219,06-12-2013,0,12,59,2013-12
CS5690,19-01-2015,0,1,82,2015-01
CS3410,06-09-2014,0,9,97,2014-09
CS1337,24-07-2014,0,7,103,2014-07
CS4954,02-11-2012,0,11,82,2012-11
CS4400,23-08-2011,0,8,67,2011-08
CS3652,07-02-2015,0,2,64,2015-02
CS5677,28-02-2013,0,2,93,2013-02
